,alternative,true,pred
0,ICV_MINI,,0.06353518825185597
1,ICV_LIL,0.06538266599087683,0.09076526803433517
2,ICV_MEL,0.09038688967731036,0.15181107271592256
3,ICV_STOR,0.15087007940530495,0.06647370952986015
4,ICV_PREM,0.06673424564960298,0.0365862434543701
5,ICV_LUK,0.03598580841358338,0.008373686792507253
6,BEV_MINI,0.005406318634904545,0.0542671765558017
7,BEV_LIL,0.05845582023990539,0.0676496446376308
8,BEV_MEL,0.06673424564960298,0.17410108043233286
9,BEV_STOR,0.1772258827504646,0.09369231243575189
10,BEV_PREM,0.08937320493326575,0.02808436189241348
11,BEV_LUK,0.02956580503463423,0.005970755280463081
12,PHEV_MINI,0.00506842372022301,0.023701794862404167
13,PHEV_LIL,0.023990538942388916,0.02769504648739773
14,PHEV_MEL,0.023483696570366617,0.07222811851901707
15,PHEV_STOR,0.07366109140057442,0.026989652731997636
16,PHEV_PREM,0.027538435546545025,0.005950510348625767
17,PHEV_LUK,0.007433688122993749,0.0021243770373138506
