,alternative,true_dk,true_cph,pred_dk,pred_cph
0,ICV_MINI,,,0.06506689149145005,0.06616728155631522
1,ICV_LIL,0.0927521540800811,0.09118915588416512,0.08978365928039045,0.0822848004901123
2,ICV_MEL,0.15391113363743875,0.14171287738755392,0.1449295641014345,0.13164182928491105
3,ICV_STOR,0.06724108802162528,0.05791743684534812,0.0627164589610209,0.056376872701327505
4,ICV_PREM,0.03615475587092414,0.030807147258163893,0.03344914108071383,0.027812090346485664
5,ICV_LUK,0.00844737286703835,0.0061614294516327784,0.007206495336048322,0.00560090341232801
6,BEV_MINI,0.05507687109309005,0.06531115218730746,0.055772413289527575,0.06376907018771076
7,BEV_LIL,0.06673424564960298,0.06223043746149107,0.06877489690603679,0.07217178385408274
8,BEV_MEL,0.17300219631694544,0.18853974121996303,0.1785699019857957,0.1892007687712292
9,BEV_STOR,0.08886636256124346,0.10166358595194085,0.09395139081381193,0.10396037760935277
10,BEV_PREM,0.02939685757729346,0.03450400492914356,0.03063540948788872,0.033117489880675116
11,BEV_LUK,0.006082108464267613,0.006777572396796057,0.006994517142936502,0.00768664465215304
12,PHEV_MINI,0.02145632708227741,0.019100431300061615,0.022510457651712806,0.024785726757449705
13,PHEV_LIL,0.027369488089204256,0.020948860135551448,0.0277444702332504,0.02657579542335265
14,PHEV_MEL,0.07197161682716675,0.06223043746149107,0.07402446210267753,0.07063348554141234
15,PHEV_STOR,0.029058962662611928,0.03512014787430684,0.028290797241539035,0.028844587426265982
16,PHEV_PREM,0.004899476262882244,0.004313000616142945,0.006981440777775266,0.0065345769711702755
17,PHEV_LUK,0.0015205271160669033,0.0012322858903265558,0.0025976321159902776,0.002835915133665992
